Keyword                 Rule
ignore_bins             style_keyword_space
illegal_bins            style_keyword_space
implements              style_keyword_space
implies                 style_keyword_space
import                  style_keyword_space
incdir                  style_keyword_space
include                 style_keyword_space
initial                 style_keyword_block_nospace
inout                   style_keyword_1or2space
input                   style_keyword_1or2space
inside                  style_keyword_space
instance                style_keyword_space
int                     style_keyword_space
integer                 style_keyword_space
interconnect            style_keyword_space
interface               style_keyword_space
intersect               style_keyword_space
join                    style_keyword_block_nospace
join_any                style_keyword_block_nospace
join_none               style_keyword_block_nospace
large                   style_keyword_space
let                     style_keyword_space
liblist                 style_keyword_space
library                 style_keyword_space
local                   style_keyword_space
localparam              style_keyword_space
logic                   style_keyword_space
longint                 style_keyword_space
macromodule             style_keyword_space
matches                 style_keyword_space
medium                  style_keyword_space
modport                 style_keyword_space
module                  style_keyword_space
nand                    style_keyword_space
negedge                 style_keyword_space
nettype                 style_keyword_space
new                     style_keyword_0or1space
nexttime                style_keyword_space
nmos                    style_keyword_space
nor                     style_keyword_space
noshowcancelled         style_keyword_space
not                     style_keyword_space
notif0                  style_keyword_space
notif1                  style_keyword_space
null                    style_keyword_nospace
or                      style_keyword_space
output                  style_keyword_space
package                 style_keyword_space
packed                  style_keyword_space
parameter               style_keyword_space
pmos                    style_keyword_space
posedge                 style_keyword_space
primitive               style_keyword_space
priority                style_keyword_space
program                 style_keyword_space
property                style_keyword_space
protected               style_keyword_space
pull0                   style_keyword_space
pull1                   style_keyword_space
pulldown                style_keyword_space
pullup                  style_keyword_space
pulsestyle_ondetect     style_keyword_space
pulsestyle_onevent      style_keyword_space
pure                    style_keyword_space
rand                    style_keyword_space
randc                   style_keyword_space
randcase                style_keyword_space
randsequence            style_keyword_space
rcmos                   style_keyword_space
real                    style_keyword_space
realtime                style_keyword_space
ref                     style_keyword_space
reg                     style_keyword_space
reject_on               style_keyword_space
release                 style_keyword_space
repeat                  style_keyword_space
restrict                style_keyword_space
return                  style_keyword_nospace
rnmos                   style_keyword_space
rpmos                   style_keyword_space
rtran                   style_keyword_space
rtranif0                style_keyword_space
rtranif1                style_keyword_space
s_always                style_keyword_space
s_eventually            style_keyword_space
s_nexttime              style_keyword_space
s_until                 style_keyword_space
s_until_with            style_keyword_space
scalared                style_keyword_space
sequence                style_keyword_space
shortint                style_keyword_space
shortreal               style_keyword_space
showcancelled           style_keyword_space
signed                  style_keyword_space
small                   style_keyword_space
soft                    style_keyword_space
solve                   style_keyword_space
specify                 style_keyword_block_nospace
specparam               style_keyword_space
static                  style_keyword_space
string                  style_keyword_space
strong                  style_keyword_space
strong0                 style_keyword_space
strong1                 style_keyword_space
struct                  style_keyword_space
super                   style_keyword_nospace
supply0                 style_keyword_space
supply1                 style_keyword_space
sync_accept_on          style_keyword_space
sync_reject_on          style_keyword_space
table                   style_keyword_block_nospace
tagged                  style_keyword_space
task                    style_keyword_space
this                    style_keyword_nospace
throughout              style_keyword_space
time                    style_keyword_space
timeprecision           style_keyword_space
timeunit                style_keyword_space
tran                    style_keyword_space
tranif0                 style_keyword_space
tranif1                 style_keyword_space
tri                     style_keyword_space
tri0                    style_keyword_space
tri1                    style_keyword_space
triand                  style_keyword_space
trior                   style_keyword_space
trireg                  style_keyword_space
type                    style_keyword_space
typedef                 style_keyword_space
union                   style_keyword_space
unique                  style_keyword_space
unique0                 style_keyword_space
unsigned                style_keyword_space
until                   style_keyword_space
until_with              style_keyword_space
untyped                 style_keyword_space
use                     style_keyword_space
uwire                   style_keyword_space
var                     style_keyword_space
vectored                style_keyword_space
virtual                 style_keyword_space
void                    style_keyword_space
wait                    style_keyword_space
wait_order              style_keyword_space
wand                    style_keyword_space
weak                    style_keyword_space
weak0                   style_keyword_space
weak1                   style_keyword_space
while                   style_keyword_space
wildcard                style_keyword_space
wire                    style_keyword_space
with                    style_keyword_space
within                  style_keyword_space
wor                     style_keyword_space
xnor                    style_keyword_space
xor                     style_keyword_space
